subject_id,title,release_year,region,tags,rating,votes,chart_rank,page_url,poster_url,poster_local,directors,casts,aliases,duration,imdb_id,source_label,crawled_at,summary
5300054,波西米亚狂想曲,2018,英国 美国,"剧情,传记,同性,音乐",8.6,694316,212,https://movie.douban.com/subject/5300054/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2549558913.jpg,posters/5300054.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1293908,城市之光,1931,美国,"喜剧,剧情,爱情",9.3,174159,213,https://movie.douban.com/subject/1293908/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2170238828.jpg,posters/1293908.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
25773932,爆裂鼓手,2014,美国,"剧情,音乐",8.6,695059,214,https://movie.douban.com/subject/25773932/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915975989.jpg,posters/25773932.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1303394,青蛇,1993,中国香港 中国大陆,"剧情,爱情,奇幻,古装",8.6,603819,215,https://movie.douban.com/subject/1303394/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2923862788.jpg,posters/1303394.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,"【抱朴生 · 力荐】
东方奇幻电影的扛鼎之作，可能也是徐克的巅峰了。和这部电影相比，许多情色电影都太low了，包括西西里的美丽传说，西式的直接，和这部东方式的互文、留白、写意相比，显得很俗。抛开这部电影中情色片的顶级表达，电影画面也极具美感，像水墨画一样精美，精炼又不单调，像戏剧一样典雅。此外，我格外欣赏张曼玉的演技，太厉害了，她是我心中香港最会演的女演员，也格外有魅力。

【傻关🍊 · 力荐】
浮生。。。bgm洗脑极了，太好听了
两位女主的美貌和法海的帅气也绝了
期待更多的老片子重回大荧幕

【Cookies · 推荐】
大概看懂了…原本只是想抱着看不同电视剧电影会如何改编白蛇传，但是这种风格的拍摄方法我第一次看……看得云里雾里的。

【formag · 力荐】
李碧华原著，选择了与传统白蛇传的反向视角，青蛇题材近年来影响很大，改编成舞台剧戏剧乃至国漫。小青妖性未泯，反而以旁观者视角，看穿人性虚伪，看透人性难免的贪（许仙）嗔（法海）痴（白蛇）。"
2051007,哈利·波特与死亡圣器(上),2010,英国 美国,"奇幻,冒险",8.6,700234,216,https://movie.douban.com/subject/2051007/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913456984.jpg,posters/2051007.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1438652,无耻混蛋,2009,德国 美国,"剧情,犯罪",8.7,566553,217,https://movie.douban.com/subject/1438652/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.jpg,posters/1438652.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1292328,东邪西毒,1994,中国香港 中国台湾,"剧情,动作,爱情,武侠,古装",8.6,637746,218,https://movie.douban.com/subject/1292328/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,posters/1292328.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1293323,大红灯笼高高挂,1991,中国大陆 中国香港 中国台湾,剧情,8.8,376017,219,https://movie.douban.com/subject/1293323/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1254404823.jpg,posters/1293323.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1291844,终结者2：审判日,1991,美国 法国,"动作,科幻",8.8,388267,220,https://movie.douban.com/subject/1291844/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910909085.jpg,posters/1291844.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
1978709,黑天鹅,2010,美国,"剧情,惊悚",8.6,850184,221,https://movie.douban.com/subject/1978709/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg,posters/1978709.jpg,,,,,,https://movie.douban.com/top250,2026-05-06 14:00:05,
